Jméno|Disciplína|Stát|Pohlaví|Datum narození|Vìk|Výška|Váha|Místo narození|Místo pobytu|Pøezdívka|Trenér|Ruka|Zranìní|Pøedchozí|Povolání|Klub|Pozice|Vzor|Jazyky|Hobbies|Ambice|Dùvody|Motto
Johanna TALIHAERM|Biathlon|Estonia|Female|27 June 1993|20|1.61|60|Estonia, TALLINN|-||Mihkel Joosing; Tonu Paasuke, EST; Maris Cakars [national], LAT ||||Athlete||||Estonian|Mountain biking, hiking, alpine skiing. |||
Henrik TALLINDER|Ice Hockey|Sweden|Male|10 January 1979|35|1.93|98|Sweden, VANTOR, STOCKHOLM|-||||||||||||||
Eligius TAMBORNINO|Cross-Country|Switzerland|Male|25 October 1986|27|1.83|73|-|-|Eli |Arne Hetland |||Vancouver 2010|Armed Services, Athlete||||German|Other sports. |||
Karel TAMMJARV|Cross-Country|Estonia|Male|25 May 1989|24|1.93|88|-|-||Kerstin Margus [club], Mati Alavere [national] |||Vancouver 2010|||||English, Estonian|Cooking, cars, fashion. |||
Atsuko TANAKA|Ski Jumping|Canada|Female|25 January 1992|22|1.61|50|Canada, CALGARY|-|Japanada |Max Thompson [club], CAN; Gregor Linsig[national] ||She suffered an anterior cruciate ligament, medial collateral ligament and meniscus knee injury at the qualification round at the 2009 Junior World Championships. She underwent surgery and returned to competition 10 months later. |||Altius Nordic Ski Club, Calgary, AB, CAN|||||||
Daniel-Andre TANDE|Ski Jumping|Norway|Male|24 January 1994|20|-|-|Norway, NARVIK|-||Alexander Stockl [national] ||||Athlete|Kongsberg IF/Flying Team Vikersund, Norway|||English, Norwegian|Listening to music. |||
Jialin TANG|Biathlon|China|Female|5 November 1991|22|1.68|55|China, JILIN|-||Markus Fischer [national] ||In 2013 she had her appendix removed, taking over a month to fully recover. ||Athlete||||Mandarin|Singing, listening to the music. |||
Vilma TANSKANEN|Ice Hockey|Finland|Female|14 April 1995|18|1.75|66|Finland, VANTAA|-||||||||||||||
Susanna TAPANI|Ice Hockey|Finland|Female|2 March 1993|20|1.77|64|Finland, LAITILA|-||||||||||||||
Vladimir TARASENKO|Ice Hockey|Russian Fed.|Male|13 December 1991|22|1.84|95|-|Russian Fed., NOVOSIBIRSK||||||||||||||
Sergey TARASOV|Snowboard|Russian Fed.|Male|5 September 1988|25|1.69|58|-|-||Sergey Tarasov [father] ||||||Regular ||||||
Saija TARKKI|Ice Hockey|Finland|Female|29 December 1982|31|1.72|60|Finland, OULU|-||||||||||||||
Daniel TASCHLER|Biathlon|Italy|Male|24 May 1987|26|1.83|72|Italy, BRESSANONE|-||Paolo Riva [national], ITA; Patrick Oberegger [club] ||||Athlete||||English, German, Italian||||
Bruce TASKER|Bobsleigh|Great Britain|Male|2 September 1987|26|1.93|105|Great Britain, KILGETTY|-|Bigfoot, Big Tasty |Chris Woolley, GBR; Dominik Scherrer, SUI; Peter Gunn, GBR; Michael Khmel, RUS ||||Athlete||Push athlete ||English|Cooking. |||
Tomas TATAR|Ice Hockey|Slovakia|Male|1 December 1990|23|1.78|84|Slovakia, ILAVA|-||||||||||||||
John TAVARES|Ice Hockey|Canada|Male|20 September 1990|23|1.83|90|Canada, MISSISSAUGA|-||||||||||||||
Andrej TAVZELJ|Ice Hockey|Slovenia|Male|14 March 1984|29|1.88|93|Slovenia, JESENICE|-||||||||||||||
Alexandra TAYLOR|Alpine Skiing|Cyprus|Female|4 May 1994|19|1.74|64|Cyprus, EGKOMI|-||||||||||||||
Kenza TAZI|Alpine Skiing|Morocco|Female|6 February 1996|17|1.66|60|United States, BOSTON|-||||||||||||||
Yulia TCHEKALEVA|Cross-Country|Russian Fed.|Female|6 February 1984|29|1.65|60|-|Russian Fed.||Veniamin Turutin, RUS; Alexey Kuritsyn [husband], RUS ||||Athlete||||Russian||||
Axel TEICHMANN|Cross-Country|Germany|Male|14 July 1979|34|1.86|85|-|-||Frank Ullrich [national], Cuno Schreyl [personal] ||He suffered a shoulder injury in June 2012. |Vancouver 2010, Salt Lake City 2002|Serves in the Army||||English, French, German|Rock climbing, football, computers, driving his moped and Wartburg car. |||
John TELLER|Freestyle Skiing|United States|Male|9 March 1983|30|1.88|98|United States, BISHOP|-|JT, Johnny |||||Athlete, Mechanic|||||Hunting, hiking, skiing, fishing, being outdoors, racing on his dirt bike. |||
Denis TEN|Figure Skating|Kazakhstan|Male|13 June 1993|20|1.68|-|Kazakhstan, ALMATY|-||Frank Carroll ||He suffered an injury during the warm up for the 2013 University Winter Games in Trento, Italy, and had to withdraw from the competition. |Vancouver 2010|||||Russian|Music, movies, reading, spending time with friends. |||
Alexandru TEODORESCU|Luge|-|Male|27 May 1992|21|1.69|70|-|-|Teo |Alexandru Comsa; Corina Dragan ||||Athlete, Student|CSO Sinaia, Romania|Back ||English, French, Romanian|Cycling, listening to music |||
Jurij TEPES|Ski Jumping|Slovenia|Male|14 February 1989|24|1.83|63|Slovenia, Ljubljana|-||Primoz Rychly ||||Athlete|SD Dolomiti, Ljubljana, SLO|||English, German, Slovene|Running, cycling, inline skating, motorcycling. |||
Jorien TER MORS|Short Track|Netherlands|Female|21 December 1989|24|1.81|68|Netherlands, ENSCHEDE|-|Joris |Joreon Otter [short track] |||Vancouver 2010|Athlete||||Dutch, English, German|Spending time on the beach, mountain climbing. |||
Jorien TER MORS|Speed Skating|Netherlands|Female|21 December 1989|24|1.81|68|Netherlands, ENSCHEDE|-|Joris |Joreon Otter [short track] |||Vancouver 2010|Athlete||||Dutch, English, German|Spending time on the beach, mountain climbing. |||
Jayson TERDIMAN|Luge|United States|Male|21 December 1988|25|1.70|69|United States, STROUDSBURG|-||Miro Zayonc [national] ||||Athlete||Back ||English|Baseball, frisbee, swimming, basketball, snowboarding. |||
Alexei TERESHENKO|Ice Hockey|Russian Fed.|Male|16 December 1980|33|1.80|80|-|-||||||||||||||
Emma TERHO|Ice Hockey|Finland|Female|17 December 1981|32|1.59|60|United States, WASHINGTON DC|-||||||||||||||
Ferran TERRA|Alpine Skiing|Spain|Male|10 March 1987|26|1.77|83|Spain, MATARO|-|||||Vancouver 2010|||||Catalan, Spanish||||
Elli TERWIEL|Alpine Skiing|Canada|Female|16 April 1989|24|1.72|73|Canada, NEW WEST MINISTER|-|Elle |Hugues Ansermoz from 2010 ||She tore her anterior cruciate ligament in her knee, as well as the meniscus, and suffered a bone bruise in her femur, in 2008. She missed the entire season and had to use crutches for three months. ||Student|||||Tennis, running, horse riding, travelling. |||
Martin TESOVIC|Bobsleigh|Slovakia|Male|26 October 1974|39|1.83|105|Slovakia, BRATISLAVA|-|Tesho |Vladimir Jagnesak [national] ||He injured his groin in November 2009, but recovered in time to compete at the 2010 Olympic Winter Games in Vancouver. |Vancouver 2010|Coach||Crew |||Sport, motorcycles, watching movies, listening to music. |||
Hannah TETER|Snowboard|United States|Female|27 January 1987|27|1.70|60|United States, BELMONT|-||Mike Jankowski [national] ||She dislocated her shoulder during practice at the 2009 Grand Prix in Copper Mountain, CO, United States. |Vancouver 2010, Torino 2006|Athlete||Goofy ||English|Charity work, surfing. |||
Himanshu THAKUR|Alpine Skiing|India|Male|9 January 1994|20|1.67|54|India, BURUA|-||Hira Lal ||||Student||||||||
Patrick THALER|Alpine Skiing|Italy|Male|23 March 1978|35|1.77|77|Italy, BOLZANO|-|||||Vancouver 2010, Torino 2006|Athlete, Police Officer||||Italian|Playing beach volleyball, tennis, hiking, and surfing the internet. |||
Sandra THALMANN|Ice Hockey|Switzerland|Female|18 December 1992|21|1.63|68|Switzerland, BASEL BS|-||||||||||||||
Adrien THEAUX|Alpine Skiing|France|Male|18 September 1984|29|1.82|84|France, TARBES|-|Oudin, Adri |Stephane Sorrel; Patrice Morisod [national], SUI |||Vancouver 2010|Army, Athlete||||English, French|Freeskiing, motorcycles, surfing, golf. He is a self-confessed "speed addict" and likes anything fast. |||
Marion THEES|Skeleton|Germany|Female|5 July 1984|29|1.68|58|Germany, EISENACH|-||Frank Schwarz [personal]; Jens Muller [national] |||Vancouver 2010|Serves in the Army||||German|Sport, history. |||
Marielle THOMPSON|Freestyle Skiing|Canada|Female|15 June 1992|21|1.78|70|Canada, NORTH VANCOUVER|-|Mer, Mertank, Mar Bear, Big Air Mar |Eric Archer [national] ||||Athlete||||English|Skating, volleyball, football, running, reading, water skiing, swimming, sailing. |||
Benjamin THOMSEN|Alpine Skiing|Canada|Male|25 August 1987|26|1.74|80|Canada, INVERMERE|-|Benny, Benny Alcott, Black Panther, The Rock Whisperer, Pink Pocster. |Peter Bosinger [national] ||In March 2011 he hooked his arm on a super G gate while racing, resulting in an accident which "tweaked" both of his knees, and severely bruised his femur. He raced again three days later. ||Athlete, Coach||| video games. He also enjoys crochet, "I crochet hats - they make good Christmas presents." ||Kiteboarding, wakeboarding, dirt biking, cliff jumping, playing Guitar Hero video games. He also enjoys crochet, "I crochet hats - they make good Christmas presents." |||
Patrick THORESEN|Ice Hockey|Norway|Male|7 November 1983|30|1.82|92|Norway, OSLO|-||||||||||||||
Sven THORGREN|Snowboard|Sweden|Male|4 October 1994|19|1.72|70|Sweden, SOLLENTUNA|-||||||Athlete, Student|Sollentuna Snowboardklubb, Sweden|Regular ||English|Skateboarding, spending time with friends and family. |||
Mirabelle THOVEX|Snowboard|France|Female|24 August 1991|22|1.67|60|France, AURAY|France, La Clusaz||Valerie Bourdier |||Vancouver 2010||CS La Clusaz, France|Goofy ||English, French|Spending time with family and friends, wakeboarding, surfing, reading, shopping. |||
Guojun TIAN|Speed Skating|China|Male|10 March 1990|23|1.88|84|China, HEILONGJIANG|-||Siep Hoekstra ||||Athlete||||Mandarin||||
Rok TICAR|Ice Hockey|Slovenia|Male|3 May 1989|24|1.80|82|Slovenia, JESENICE|-||||||||||||||
Karl-August TIIRMAA|Nordic Combined|Estonia|Male|7 July 1989|24|1.79|66|Estonia, VORU|-|Tiiru |Kalmer Tramm [personal], EST; Tambet Pikkor [national], EST ||His 2012/13 season was disrupted by back injuries. ||Athlete||||English, Estonian, Finnish|Fishing, chess, watching movies, reading books, volleyball. |||
Victor TIKHONOV|Ice Hockey|Russia|Male|12 May 1988|25|1.88|83|-|Russia, MOSCOW||||||||||||||
Nina TIKKINEN|Ice Hockey|Finland|Female|6 February 1987|26|1.70|66|Finland, SALO|-||||||||||||||
Yulia TIMOFEEVA|Bobsleigh|-|Female|3 May 1972|41|1.74|71|-|-||||||||||||||
Kimmo TIMONEN|Ice Hockey|Finland|Male|18 March 1975|38|1.77|84|Finland, KUOPIO|-||||||||||||||
Eliza TIRUMA|Luge|Latvia|Female|21 August 1990|23|1.70|72|Latvia, SIGULDA|-||Peteris Cimanis [national] |||||||||Swimming, hiking, cycling. |||
Jesper TJADER|Freestyle Skiing|Sweden|Male|22 May 1994|19|1.67|53|Sweden, OSTERSUND|-|Chad, J |Patric Nyberg [national] ||||Athlete|Ostersund FS, Sweden|||English, Swedish|Rollerblading, skateboarding, downhill biking, playing video games. |||
Svetlana TKACHYOVA|Ice Hockey|Russian Fed.|Female|3 November 1984|29|1.70|60|-|Russian Fed., MOSCOW||||||||||||||
Triin TOBI|Alpine Skiing|Estonia|Female|3 June 1995|18|1.60|64|Estonia, TARTU|-||Nils Kroon, EST; Mika Pelli, FIN; Petri Harkonen; Eetu Virranniemi, FIN ||||||||Estonian, Finnish|Snowboarding, freestyle skiing, extreme sports. |||
Isabella TOBIAS|Figure Skating|Lithuania|Female|23 August 1991|22|1.61|-|United States, NEW YORK|-||Igor Shpilband ||||Athlete, Student|Baltu Ainiai, Lithuania|||English|Travelling, music, sports, literature. |||
Indrek TOBRELUTS|Biathlon|Estonia|Male|5 April 1976|37|1.84|74|Estonia, TARTU|-||Maris Cakars [national], Mihkel Joosing [national] |||Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998|Armed Forces, Athlete||||English, Estonian, Russian|Listening to music, inline skating. |||
Sugar TODD|Speed Skating|United States|Female|19 July 1990|23|1.63|64|United States, OMAHA|-||Ryan Shimabukuru [national] ||||Athlete||||English|Camping, biking, watching American football team Green Bay Packers. |||
Didrik TOENSETH|Cross-Country|Norway|Male|10 May 1991|22|-|-|-|-||Vidar Lofshus [national] ||He suffers from persistent back problems and was forced to withdraw from the 2013 World Championships in Val di Fiemme, Italy, due to a back injury. ||Athlete||||Norwegian|Playing the drums. |||
Jonathan TOEWS|Ice Hockey|Canada|Male|29 April 1988|25|1.88|95|Canada, WINNIPEG|-||||||||||||||
Eva TOFALVI|Biathlon|Romania|Female|4 December 1978|35|1.72|61|Romania, MIERCUREA CIUC|-|||||Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998|Athlete, Teacher||||English, Romanian|Skiing, swimming, music, dancing. |||
Ahti TOIVANEN|Biathlon|Finland|Male|5 January 1990|24|1.82|74|Finland, POLVIJARVI|-||Jari Karinkanta [national] ||||Athlete||||English, Finnish, Swedish|Floorball, listening to music. |||
Ayaka TOKO|Ice Hockey|Japan|Female|22 August 1994|19|1.61|59|Japan, FUJIMI-CHO, HIGASHIMURAYAMA-CITY, TOKYO|-||||||||||||||
Erjon TOLA|Alpine Skiing|Albania|Male|15 December 1986|27|1.80|78|Albania, TIRANA|-|||||Vancouver 2010, Torino 2006|Coach||||Albanian, English, Italian||||
Ole-Kristian TOLLEFSEN|Ice Hockey|Norway|Male|29 March 1984|29|1.88|95|-|-||||||||||||||
Michiko TOMABECHI|Curling|Japan|Female|29 January 1980|34|1.48|-|Japan, NINOHE-CITY, IWATE|-||Fuji Miki [national] ||||||Lead ||Japanese||||
Curtis TOMASEVICZ|Bobsleigh|United States|Male|17 September 1980|33|1.85|104|United States, DAVID CITY|-|Curt |Brian Shimer [national] |Left ||Vancouver 2010, Torino 2006|Athlete||Brakeperson ||English|Playing bass guitar, astronomy, reading. |||
Jian TONG|Figure Skating|China|Male|15 August 1979|34|1.79|-|China, HEILONGJIANG|-||Bin Yao, CHN; Wei Liu, CHN ||He and skating partner Pang Qing missed the 2013 Four Continents Championships in Osaka, Japan, due to an injury he suffered in his left knee in 2012. Part of his rehabilitation involved injecting lubricating fluid in his knee every four days. |Vancouver 2010, Torino 2006, Salt Lake City 2002|Athlete|Harbin Skating Club, China|||Mandarin|Playing computer games, singing, fishing, music. |||
Roope TONTERI|Snowboard|Finland|Male|18 March 1992|21|1.69|68|Finland, VALKEALA|-|Ruppe, Thunder |Pekka Koskela ||He broke his collarbone in 2011 after winning the Burton European Open. "I caught my front edge in the snow and fell on my left shoulder. I knew right away something bad had happened. I rode to the side and put my hand underneath my jacket. I realized my collarbone was broken and got the ambulance to hospital." ||Athlete||Goofy ||English, Finnish|Skateboarding. |||
Rebecca TORR|Snowboard|New Zealand|Female|15 March 1990|23|1.73|65|New Zealand, TAURANGA|-|Possum |Jody Blatchley [national] ||She broke her collarbone in May 2010. ||Athlete||Regular ||English|Playing the guitar, making music, drinking coffee, going to the gym, being out on and in the ocean, spending time with her family |||
Samu TORSTI|Alpine Skiing|Finland|Male|5 September 1991|22|1.85|84|Finland, VAASA|-||Tuomas Uotila, FIN; Janne Haarala, FIN ||||||||||||
Sebastien TOUTANT|Snowboard|Canada|Male|9 November 1992|21|1.70|70|Canada, REPENTIGNY|-|Seb Toots |||He broke his right ankle while training for the Innsbruck Air and Style competition in 2009. He returned to competition in early 2010. ||Athlete|||||Skateboarding, wakeboarding, trampoline. |||
Morris TRACHSLER|Ice Hockey|Switzerland|Male|15 July 1984|29|1.82|90|Switzerland, WETTSWIL AM ALBIS ZH|-||||||||||||||
Maxim TRANKOV|Figure Skating|Russian Fed.|Male|7 October 1983|30|1.87|-|-|Russian Fed., PERM||||||||||||||
Matthias TRATTNIG|Ice Hockey|Austria|Male|22 April 1979|34|1.85|96|-|-||||||||||||||
Dow TRAVERS|Alpine Skiing|Cayman Islands|Male|8 July 1987|26|1.82|91|Cayman Islands, GEORGE TOWN, GRAND CAYMAN|-||Jake Zamansky ||In 2009 he underwent ankle surgery to remove a bone spur. The injury forced him to miss four months of competition. |Vancouver 2010|Athlete, Business Owner||||English|Scuba diving, rugby union, going to the beach. |||
Nikita TREGYBOV|Skeleton|Russian Fed.|Male|14 February 1995|18|1.88|85|Russian Fed., KRASNOYARSK|Russian Fed., KRASNOYARSK||Anzhelika Bakaeva ||||Armed Services, Athlete||||Russian||||
Filip TREJBAL|Alpine Skiing|Czech Republic|Male|5 January 1985|29|1.94|97|Czech Republic, JILEMNICE|-|Trejbic |Milos Machytka ||He had surgery for a chronically sore knee before the 2013/14 season. |Vancouver 2010, Torino 2006|Athlete||||Czech, English|Cycling, wakeboarding, motocross, water skiing, free skiing. |||
Dmitry TRELEVSKI|Alpine Skiing|Kyrgyzstan|Male|14 November 1983|30|1.84|78|Kyrgyzstan, BISHKEK|-||Igor Borisov from 2003 |||Vancouver 2010|Architect, Athlete||||Russian, English||||
Chloe TRESPEUCH|Snowboard|France|Female|13 April 1994|19|1.76|63|France, BOURG ST MAURICE|-||Michael David ||She injured her knee in a World Cup event in March 2013. She ruptured her cruciate ligament and required surgery, putting her out for six months. ||Athlete, Student|Co Val-Thorens, France||||Surfing, horse riding, squash, quad bikes. |||
Kyle TRESS|Skeleton|United States|Male|29 May 1981|32|1.83|88|United States, DOYLESTOWN|-||Orvie Garrett [personal]; Tuffy Latour [national] ||||Athlete, Information Technology, Writer|||||Athletics, design, entrepreneurship, filmmaking, music, reading, travel. |||
Alexander TRETIAKOV|Skeleton|Russian Fed.|Male|19 April 1985|28|1.86|84|-|Russian Fed., KRASNOYARSK|Russian Rocket |Sergei Smirnov [personal]; Danila Tchaban [national]; Valdimir Lyubovitskiy [national] |||Vancouver 2010, Torino 2006||||||Reading, listening to music, snowboarding, fishing, ice hockey. |||
Luca TRIBONDEAU|Freestyle Skiing|Austria|Male|3 August 1996|17|1.81|74|Austria, WOLFSBERG|-||Christoph Wolf [national] ||||Athlete||||English, German|Skateboarding, windsurfing. |||
Alexandr TRIFONOV|Biathlon|Kazakhstan|Male|13 March 1986|27|1.88|73|Kazakhstan|-||Mikhail Dudchenko |||Vancouver 2010|Athlete||||Russian|Snowboarding, listening to music. |||
Hannah TRIGGER|Snowboard|Australia|Female|5 February 1987|27|1.67|60|Australia, MORNINGTON|-|HT |||During her career she has had two knee reconstructions [one left, one right], four broken collarbones, three fractures of the scaphoid [wrist] bone, and four serious concussions. Her knee injuries forced her to miss the 2006 and 2010 Olympic Winter Games. ||Athlete||Regular ||English|Surfing. |||
Pavel TRIKHICHEV|Alpine Skiing|Russian Fed.|Male|7 November 1992|21|1.83|85|Russian Fed., MONCHEGORSK, MURMANSK REGION|Russian Fed., MONCHEGORSK|Trika, Trikha, Pasha |Sergey Trikhichev [father] ||||Athlete, Student||||English, Russian|Fishing. |||
Bernhard TRITSCHER|Cross-Country|Austria|Male|25 April 1988|25|1.75|72|-|-|Berni, Tritscha, Snibl |Gerald Heigl [national] ||||Athlete, Serves in the Army||||English, German|Mountain walking, downhill mountain biking, computer games. |||
Sandro TROLLIET|Curling|Switzerland|Male|3 August 1988|25|1.92|-|Switzerland, SALVENACH FR|-||Andreas Schwaller ||||Plumber||Second ||English, German||||
Dmitry TRUNENKOV|Bobsleigh|Russian Fed.|Male|19 April 1984|29|1.88|100|-|Russian Fed., KRASNOYARSK|Sasha |Pierre Luders [national] |||Vancouver 2010|Athlete||Brakeperson ||Russian|Spending time with family. |||
Mats TRYGG|Ice Hockey|Norway|Male|1 June 1976|37|1.79|85|-|-||||||||||||||
Panagiota TSAKIRI|Biathlon|Greece|Female|12 May 1990|23|1.70|58|-|-|Giota |Athanassios Tsakiris [father] |||Vancouver 2010, Torino 2006|Athlete||||English, Greek|Skiing, watching films, spending time with family and friends. |||
Panagiota TSAKIRI|Cross-Country|Greece|Female|12 May 1990|23|1.70|58|-|-|Giota |Athanassios Tsakiris [father] |||Vancouver 2010, Torino 2006|Athlete||||English, Greek|Skiing, watching films, spending time with family and friends. |||
Tim TSCHARNKE|Cross-Country|Germany|Male|13 December 1989|24|1.83|76|-|-|Tscharnki |||In February 2009 he suffered fractured jaw which broke out to the lower incisors. |Vancouver 2010|Customs Officer||||English, German, Russian|Eastern European heritage tours, coffee, gossip, speed skating. |||
Nino TSIKLAURI|Alpine Skiing|Georgia|Female|1 July 1993|20|1.67|56|Georgia, TBILISI|-||Nicola Paulon |||Vancouver 2010|||||||||
Veselin TSINZOV|Cross-Country|Bulgaria|Male|29 July 1986|27|1.70|67|-|-|Vesko |Plamen Nedjalkov [national] |||Vancouver 2010|Athlete||||Bulgarian, English, Russian|Cars, computers, looking after his pets. |||
Valeriya TSOY|Snowboard|Kazakhstan|Female|8 July 1988|25|1.66|72|Kazakhstan|-|Lera, Lerochka |Lev Tsoy [father] ||||||||English, German, Italian, Russian||||
Yuki TSUBOTA|Freestyle Skiing|Canada|Female|3 February 1994|20|1.65|65|Canada, VANCOUVER|Canada, Vancouver, BC|Sushi |Toben Sutherland, JF Cusson ||||Athlete||||English, Japanese|Graphic designing, playing frisbee, golf. |||
Kentaro TSUDA|Freestyle Skiing|Japan|Male|29 December 1983|30|1.68|63|Japan, HAKUI-GUN, ISHIKAWA|Japan, Ageo, Saitama||||||Athlete||||Japanese||||
Maki TSUJI|Speed Skating|Japan|Female|27 April 1985|28|1.62|58|Japan, OBIHIRO-CITY, HOKKAIDO|-||Masayuki Kawahara ||She broke her right hand around 2011. ||Office Worker||||Japanese|Cleaning, sending emails, shopping. |||
Alla TSUPER|Freestyle Skiing|Belarus|Female|16 April 1979|34|1.53|53|Ukraine, ROVNO|-|||||Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998|||||Belarusian, English, Russian, Ukrainian||||
Katie TSUYUKI|Snowboard|Canada|Female|4 March 1982|31|1.68|52|Canada, SCARBOROUGH|-|K-Tron |Crispin Lipscomb [personal], CAN; Dan Raymond [national], CAN ||||Athlete, Motivational Speaker||Regular ||English|Cooking, fitness, wakesurfing. |||
Ekaterina TUDEGESHEVA|Snowboard|Russian Fed.|Female|30 October 1987|26|1.62|65|-|Russian Fed., DMITROV|Katyukha, Russian Torpedo |Denis Tikhomirov, Andrey Maksimov |||Vancouver 2010, Torino 2006|Athlete|Dinamo/Winter Sports Centre, Moscow, RUS|||Russian|Reading, roller skiing. |||
Mark TUITERT|Speed Skating|Netherlands|Male|4 April 1980|33|1.80|84|Netherlands, HOLTEN|-||Gerard van Velde ||He suffered a back injury in 2006 and was out for three months. |Vancouver 2010, Torino 2006|Athlete||||Dutch, English, German|Playing the guitar, listening to music, reading, inline skating. |||
Minnamari TUOMINEN|Ice Hockey|Finland|Female|26 June 1990|23|1.65|70|Finland, HELSINKI|-||||||||||||||
Kaya TURSKI|Freestyle Skiing|Canada|Female|3 May 1988|25|1.65|58|Canada, MONTREAL|United States, Mammoth Lakes, CA||Toben Sutherland [national]; JF Cusson [national]; Matt Christensen [personal] ||In August 2013 she sustained her third anterior cruciate ligament [ACL] knee injury. She underwent surgery to have her knee repaired with a synthetic graft to speed up the recover time in order to compete at the 2014 Olympic Winter Games in Sochi. She had previously suffered knee injuries in 2010 and during the 2006/07 season. ||Athlete||||English, French, Polish|Home decor, beading, painting, pottery, mosaics, inline skating, designing clothing and accessories. |||
Brianne TUTT|Speed Skating|Canada|Female|9 June 1992|21|1.75|66|Canada, CALGARY|-|Bri |Todd McClements ||In December 2012 she was setting up for a practice start when she was hit from behind by a male skater, who had his head down. She was left with a broken collarbone, broken ribs, a fractured skull, two fractured vertebrae in her neck, a loss of hearing in her left ear, and facial paralysis [Bells Palsy]. She was back on skates three months later and managed to recover in time to qualify for the national World Cup team in late 2013. ||Athlete, Personal Trainer||||English|Watching television, scrapbooking, football, riding her motorcycle, rafting. |||
Fyodor TYUTIN|Ice Hockey|Russian Fed.|Male|19 July 1983|30|1.88|95|-|Russian Fed., IZHEVSK||||||||||||||
Alper UCAR|Figure Skating|Turkey|Male|19 January 1985|29|1.83|-|Turkey, DENIZLI|-||Alexander Zhulin, RUS; Oleg Volkov ||||Athlete, Student||||English, Hungarian, Turkish|Reading, history, watching movies, listening to music. |||
Erica UDEN JOHANSSON|Ice Hockey|Sweden|Female|20 July 1989|24|1.71|72|Sweden, SKON|-||||||||||||||
Liudmila UDOBKINA|Bobsleigh|Russian Fed.|Female|3 October 1984|29|1.78|84|-|Russian Fed., ORYOL||Alexander Tsvetik, RUS; Sergey Zhurkin, RUS; Igor Bolberkin, RUS; Pierre Lueders [national], CAN, from 2012; Janis Minins [national], LAT, from 2013 ||She could not compete at 2010 Olympic Winter Games in Vancouver because of a back injury. ||||Push athlete ||English, Russian||||
Aiko UEMURA|Freestyle Skiing|Japan|Female|9 December 1979|34|1.56|51|Japan, ITAMI-CITY, HYOGO|Japan, Shinagawa-ku Tokyo||Janne Petteri Lahtela [national] ||She injured her left knee during a practice run at the World Cup event in Deer Valley, Utah in January 2006. |Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998|Athlete||||Japanese||||
Katie UHLAENDER|Skeleton|United States|Female|17 July 1984|29|1.60|64|United States, VAIL|-||Tuffy Latour [national] ||She missed the start of the 2013/14 season due to concussion following a crash on a training run in Lake Placid, NY, United States. |Vancouver 2010, Torino 2006|Athlete||||English|Skiing, photography, sports, writing. |||
Rui UKITA|Ice Hockey|Japan|Female|6 June 1996|17|1.68|71|Japan, MASUURA, KUSHIRO-CITY, HOKKAIDO|-||||||||||||||
Elizaveta UKOLOVA|Figure Skating|Czech Republic|Female|12 March 1998|15|1.71|-|Russian Fed., KIROV|-||Vlasta Koprivova ||||Athlete, Student|USK Prague , Czech Republic||||Playing sports, reading. |||
Stefan ULMER|Ice Hockey|Austria|Male|1 December 1990|23|1.75|80|-|-||||||||||||||
Renato ULRICH|Freestyle Skiing|Switzerland|Male|14 December 1983|30|1.78|72|Switzerland, LUZERN LU|-||Michel Roth [national] ||He sustained a concussion in 2012, which led to him pulling out of the 2012/13 season due to chronic headaches and dizziness. |Vancouver 2010, Torino 2006|Athlete||||English, French, German|Climbing, photography, reading, cycling, running, going to the cinema. |||
Emil Andre ULSLETTEN|Snowboard|Norway|Male|16 May 1993|20|-|-|Norway, LILLEHAMMER|-||Thomas Harstad [national] ||||Athlete||Regular ||English, German, Norwegian, Spanish|Hunting, football. |||
Thomas ULSRUD|Curling|Norway|Male|21 October 1971|42|-|-|Norway, OSLO|-||Pal Trulsen |||Vancouver 2010|Athlete, Business Owner|Snaroen CC [Team Ulsrud], Norway|Skip ||English, Norwegian|Golf, off road biking, supporting Norwegian football team Valerenga. |||
Min Ji UM|Curling|Korea|Female|1 February 1991|23|1.58|-|Korea, SEOUL|-||Chung Young Sup [national] ||||Athlete, Public Servant||Alternate ||Korean||||
Anton UNTERKOFLER|Snowboard|Austria|Male|12 April 1983|30|1.86|85|Austria, SCHWARZACH/PG.|Austria, St. Johann/Pongau|Uko |Tom Weninger [national] ||||Hospitality Professional|WSV Sankt Johann im Pongau, Austria|Regular ||English, German|Playing tennis, surfing, hiking, wakeboarding, listening to music. |||
Gerhard UNTERLUGGAUER|Ice Hockey|Austria|Male|15 August 1976|37|1.77|93|-|-||||||||||||||
Jan URBAS|Ice Hockey|Slovenia|Male|26 January 1989|25|1.92|98|Slovenia, POSTOJNA|-||||||||||||||
Darya USANOVA|Biathlon|Kazakhstan|Female|6 September 1989|24|1.70|65|Kazakhstan, PAVLODARSKAYA|-|Dasha |Nikolay Vydrin [personal], from 2011; Victoria Pantova [personal], from 2011; Andrey Golovko [national], KAZ, from 2012 ||||||||Russian||||
Sergey USTIUGOV|Cross-Country|Russian Fed.|Male|8 April 1992|21|1.84|80|-|Russian Fed.|Seryozha |Valery Sivkov, Igor Maksimov ||||||||||||
